name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Albufeira,2015-07-01,24.8,17.2,21.2,24.8,17.2,21.2,16.6,75.2,0,0,0,,0,0,54,38.3,275.2,1016,35.6,10.9,316.8,27.4,8,,2015-07-01T06:16:41,2015-07-01T20:56:49,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-07-02,27.6,17.9,23,27,17.9,23,14,58.3,0,0,0,,0,0,39.6,25.6,271.8,1018.9,3.1,11.7,363,31.3,10,,2015-07-02T06:17:09,2015-07-02T20:56:44,0.5,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-03,26.9,19,23.7,27,19,23.7,12,48.3,0,0,0,,0,0,32.4,24.6,276.6,1018.7,0,11.4,367.1,31.9,10,,2015-07-03T06:17:37,2015-07-03T20:56:37,0.55,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-04,29,18.9,24.5,29.6,18.9,24.6,12.2,47,0,0,0,,0,0,28.8,19.3,267.8,1018.9,11.4,11.6,359.6,30.9,10,,2015-07-04T06:18:07,2015-07-04T20:56:28,0.58,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-05,29.4,24.8,27,29.8,24.8,27.2,15.8,50.8,0,0,0,,0,0,25.2,21,265.4,1016.7,12.9,11.6,352.5,30.4,10,,2015-07-05T06:18:38,2015-07-05T20:56:17,0.62,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-06,29.1,22.2,26.2,30.8,22.2,26.5,15.9,53.9,0,0,0,,0,0,21.6,17.3,241.3,1016.1,21.8,11.4,347.2,30.2,10,,2015-07-06T06:19:10,2015-07-06T20:56:05,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-07-07,32.7,22.1,27.9,31.4,22.1,27.7,13.6,42.6,0,0,0,,0,0,25.2,19.9,272.9,1015.7,12.9,11.4,341.6,29.6,10,,2015-07-07T06:19:43,2015-07-07T20:55:51,0.69,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-08,29.3,22.9,26.9,29,22.9,26.8,13.9,46.2,0,0,0,,0,0,32.4,22,272.8,1015,18.5,11.4,361.6,31.2,10,,2015-07-08T06:20:17,2015-07-08T20:55:35,0.75,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
Albufeira,2015-07-09,26.3,20.7,23.8,26.3,20.7,23.8,15.7,61.2,0,0,0,,0,0,39.6,24.6,270.1,1015.2,57.2,11.4,316.8,27.3,10,,2015-07-09T06:20:52,2015-07-09T20:55:17,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,remote"
Albufeira,2015-07-10,32.1,18,23,31.1,18,23,15,61.6,0,0,0,,0,0,28.8,18.2,245.8,1018.6,14.2,11.6,356.5,30.7,10,,2015-07-10T06:21:29,2015-07-10T20:54:57,0.8,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR"
