hotel,datetime,tempmax,tempmin,temp,precip,precipprob,windgust,windspeed,conditions,cloudcover
Resort Hotel,2015-07-01,24.8,17.2,21.2,0.0,0,54.0,38.3,Partially cloudy,35.6
Resort Hotel,2015-07-02,27.6,17.9,23.0,0.0,0,39.6,25.6,Clear,3.1
Resort Hotel,2015-07-03,26.9,19.0,23.7,0.0,0,32.4,24.6,Clear,0.0
Resort Hotel,2015-07-04,29.0,18.9,24.5,0.0,0,28.8,19.3,Clear,11.4
Resort Hotel,2015-07-05,29.4,24.8,27.0,0.0,0,25.2,21.0,Clear,12.9
Resort Hotel,2015-07-06,29.1,22.2,26.2,0.0,0,21.6,17.3,Partially cloudy,21.8
Resort Hotel,2015-07-07,32.7,22.1,27.9,0.0,0,25.2,19.9,Clear,12.9
Resort Hotel,2015-07-08,29.3,22.9,26.9,0.0,0,32.4,22.0,Clear,18.5
Resort Hotel,2015-07-09,26.3,20.7,23.8,0.0,0,39.6,24.6,Partially cloudy,57.2
Resort Hotel,2015-07-10,32.1,18.0,23.0,0.0,0,28.8,18.2,Clear,14.2
Resort Hotel,2015-07-11,34.9,20.1,26.1,0.0,0,43.2,26.5,Clear,0.1
Resort Hotel,2015-07-12,28.0,22.1,25.2,0.0,0,28.8,20.2,Clear,0.0
Resort Hotel,2015-07-13,29.0,19.5,24.9,0.0,0,21.6,19.3,Clear,0.0
Resort Hotel,2015-07-14,28.1,22.5,24.9,0.0,0,25.2,15.5,Partially cloudy,34.4
Resort Hotel,2015-07-15,31.8,23.1,27.6,0.0,0,28.8,22.9,Partially cloudy,37.4
Resort Hotel,2015-07-16,32.0,25.1,28.3,0.0,0,28.8,18.2,Partially cloudy,46.1
Resort Hotel,2015-07-17,30.6,23.1,26.9,0.0,0,39.6,24.6,Partially cloudy,47.0
Resort Hotel,2015-07-18,31.7,21.0,25.7,0.0,0,39.6,32.7,Partially cloudy,20.4
Resort Hotel,2015-07-19,28.9,21.4,25.5,0.0,0,43.2,30.9,Clear,9.4
Resort Hotel,2015-07-20,30.8,21.6,26.1,0.0,0,28.8,20.4,Clear,0.0
Resort Hotel,2015-07-21,30.1,23.2,26.7,0.0,0,25.2,18.5,Clear,0.0
Resort Hotel,2015-07-22,35.0,25.0,29.0,0.0,0,39.6,28.2,Clear,0.0
Resort Hotel,2015-07-23,34.9,22.1,26.9,0.0,0,43.2,27.4,Clear,0.0
Resort Hotel,2015-07-24,31.3,22.1,25.7,0.0,0,43.2,39.2,Clear,8.0
Resort Hotel,2015-07-25,28.0,18.1,23.3,0.0,0,32.4,24.7,Clear,0.0
Resort Hotel,2015-07-26,25.9,21.3,23.7,0.0,0,25.2,18.2,Clear,0.0
Resort Hotel,2015-07-27,31.0,22.8,27.6,0.0,0,32.4,19.3,Clear,0.0
Resort Hotel,2015-07-28,32.1,22.4,26.5,0.0,0,36.0,17.3,Clear,2.1
Resort Hotel,2015-07-29,37.0,24.1,28.3,0.0,0,46.8,31.2,Clear,0.0
Resort Hotel,2015-07-30,28.2,22.0,24.3,0.0,0,43.2,34.7,Clear,14.7
Resort Hotel,2015-07-31,26.9,19.3,22.3,0.0,0,57.6,41.0,Partially cloudy,22.6
