hotel;datetime;tempmax;tempmin;temp;precip;precipprob;windgust;windspeed;conditions;cloudcover
City Hotel;2015-07-01;23,8;17,4;19,8;2,986;100;32,4;21,7;"Rain; Partially cloudy";52,2
City Hotel;2015-07-02;26,2;16,0;20,6;0,0;0;28,8;21,5;Partially cloudy;27,1
City Hotel;2015-07-03;26,0;16,1;20,9;0,0;0;0,0;24,4;Clear;8,3
City Hotel;2015-07-04;29,2;18,9;22,7;0,0;0;32,4;21,7;Partially cloudy;38,7
City Hotel;2015-07-05;27,4;17,8;21,8;0,0;0;36,0;27,8;Partially cloudy;43,9
City Hotel;2015-07-06;30,8;16,8;22,6;0,0;0;32,4;28,1;Partially cloudy;55,7
City Hotel;2015-07-07;29,1;18,5;23,0;0,0;0;42,3;28,5;Partially cloudy;28,7
City Hotel;2015-07-08;27,8;17,6;22,0;0,0;0;42,6;24,8;Partially cloudy;37,2
City Hotel;2015-07-09;26,6;17,2;21,3;0,0;0;36,0;21,3;Partially cloudy;26,5
City Hotel;2015-07-10;25,2;17,8;20,5;0,0;0;46,2;27,1;Partially cloudy;47,7
City Hotel;2015-07-11;27,7;17,7;21,5;0,0;0;48,2;31,9;Partially cloudy;26,6
City Hotel;2015-07-12;26,4;16,9;20,7;0,0;0;48,2;31,3;Partially cloudy;31,4
City Hotel;2015-07-13;28,9;17,1;22,1;0,0;0;32,4;23,4;Partially cloudy;21,7
City Hotel;2015-07-14;30,5;17,6;22,8;0,0;0;28,8;18,1;Partially cloudy;34,2
City Hotel;2015-07-15;31,5;17,9;22,7;0,0;0;39,6;21,7;Partially cloudy;31,8
City Hotel;2015-07-16;31,3;17,8;23,6;0,0;0;39,6;27,9;Clear;18,2
City Hotel;2015-07-17;29,4;20,0;23,6;0,0;0;32,4;25,5;Partially cloudy;34,2
City Hotel;2015-07-18;28,6;19,0;23,4;0,0;0;32,4;24,0;Partially cloudy;53,0
City Hotel;2015-07-19;28,9;19,5;23,4;0,0;0;28,8;21,5;Partially cloudy;42,7
City Hotel;2015-07-20;29,8;20,7;24,4;0,0;0;36,0;24,8;Partially cloudy;47,0
