,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date
12447,Resort Hotel,1,175,2017,6,26,30,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.0,0,2,Canceled,2017-04-19,2017-06-30
82586,City Hotel,0,49,2015,12,53,30,0,4,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,71.0,0,0,Check-Out,2016-01-03,2015-12-30
39731,Resort Hotel,0,296,2017,8,34,20,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,143.73,1,0,Check-Out,2017-08-27,2017-08-20
15858,Resort Hotel,0,0,2015,8,32,3,1,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,241.0,0,0,Check-Out,2015-08-05,2015-08-03
68145,City Hotel,1,366,2017,5,19,13,2,2,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,104.0,0,0,Canceled,2016-08-19,2017-05-13
57210,City Hotel,1,62,2016,9,39,21,0,1,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,75.0,0,0,Canceled,2016-08-24,2016-09-21
64065,City Hotel,1,199,2017,2,9,28,0,2,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,2,Canceled,2017-02-01,2017-02-28
23630,Resort Hotel,0,12,2016,4,18,27,0,3,2,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,385.0,,0,Transient-Party,85.33,0,0,Check-Out,2016-04-30,2016-04-27
105192,City Hotel,0,1,2017,2,5,1,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,426.0,0,Transient,80.0,0,0,Check-Out,2017-02-02,2017-02-01
8949,Resort Hotel,1,173,2016,10,43,21,1,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,65.33,0,0,Canceled,2016-05-01,2016-10-21
36634,Resort Hotel,0,7,2017,5,21,23,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,127.0,,0,Transient-Party,49.6,0,0,Check-Out,2017-05-25,2017-05-23
111945,City Hotel,0,14,2017,5,20,14,2,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,150.48,0,2,Check-Out,2017-05-18,2017-05-14
97861,City Hotel,0,27,2016,9,39,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,288.0,,0,Transient-Party,95.0,0,0,Check-Out,2016-09-21,2016-09-20
20703,Resort Hotel,0,0,2016,2,6,3,1,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,39.0,0,2,Check-Out,2016-02-08,2016-02-03
22824,Resort Hotel,0,60,2016,4,15,3,2,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,0,2,Check-Out,2016-04-08,2016-04-03
104223,City Hotel,0,0,2017,1,1,5,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.0,0,0,Check-Out,2017-01-08,2017-01-05
