,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
23384,Resort Hotel,0,152,2016,April,17,20,0,4,2,0.0,0,BB,IRL,Groups,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient-Party,49.0,0,1,Check-Out,2016-04-24
22457,Resort Hotel,0,65,2016,March,12,19,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,82.15,0,2,Check-Out,2016-03-26
85145,City Hotel,0,33,2016,March,11,8,0,2,1,0.0,0,BB,CHN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,62.2,0,0,Check-Out,2016-03-10
54374,City Hotel,1,372,2016,July,29,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21
100508,City Hotel,0,2,2016,October,44,25,0,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,109.38,0,1,Check-Out,2016-10-29
63956,City Hotel,1,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0,Canceled,2017-02-24
50212,City Hotel,1,69,2016,April,18,26,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,0,Canceled,2016-02-21
52446,City Hotel,1,213,2016,June,24,7,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,62,Transient,130.0,0,0,Canceled,2016-01-08
25174,Resort Hotel,0,70,2016,June,25,16,0,1,2,2.0,0,BB,GBR,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,150.6,1,0,Check-Out,2016-06-17
111156,City Hotel,0,7,2017,May,18,3,0,4,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,G,G,1,No Deposit,14.0,,0,Transient,316.0,0,1,Check-Out,2017-05-07
13700,Resort Hotel,1,40,2017,August,34,26,2,5,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,293.86,0,0,Canceled,2017-07-18
77649,City Hotel,1,98,2015,December,52,26,2,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,8.0,,0,Transient,118.0,0,2,Canceled,2015-09-24
71154,City Hotel,1,215,2017,June,26,28,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-11-25
107261,City Hotel,0,41,2017,March,9,3,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,0,Check-Out,2017-03-10
39036,Resort Hotel,0,0,2017,August,31,5,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,259.0,1,0,Check-Out,2017-08-06
17423,Resort Hotel,0,9,2015,October,41,8,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,281.0,,0,Contract,37.8,0,0,Check-Out,2015-10-11
101593,City Hotel,0,2,2016,November,47,13,2,0,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.0,0,2,Check-Out,2016-11-15
39523,Resort Hotel,0,163,2017,August,32,10,2,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,40.0,,0,Contract,119.85,0,0,Check-Out,2017-08-20
106378,City Hotel,0,8,2017,February,8,22,0,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.0,0,1,Check-Out,2017-02-25
96587,City Hotel,0,233,2016,September,36,3,1,1,1,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-09-05
111028,City Hotel,0,0,2017,May,19,9,0,0,2,0.0,0,BB,PRT,Complementary,Direct,1,0,1,B,B,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-05-09
8336,Resort Hotel,1,14,2016,September,39,22,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,78.0,0,0,Canceled,2016-09-08
48403,City Hotel,1,251,2016,March,13,22,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,93,Transient,125.0,0,0,Canceled,2015-10-16
110833,City Hotel,0,29,2017,April,17,28,2,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,123.5,0,3,Check-Out,2017-05-02
89887,City Hotel,0,86,2016,May,22,26,0,3,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,135.0,0,1,Check-Out,2016-05-29
91345,City Hotel,0,45,2016,June,25,17,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,32.5,0,1,Check-Out,2016-06-20
82699,City Hotel,0,69,2015,December,53,29,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Contract,92.43,0,0,Check-Out,2016-01-05
56056,City Hotel,1,228,2016,August,35,27,2,4,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0,Canceled,2016-01-18
11224,Resort Hotel,1,100,2017,April,17,29,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,385.0,,0,Transient-Party,85.0,0,0,Canceled,2017-04-21
23958,Resort Hotel,0,78,2016,April,18,28,2,8,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,171.0,,0,Transient,88.4,0,2,Check-Out,2016-05-08
32412,Resort Hotel,0,0,2017,January,4,24,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,70.0,0,0,Check-Out,2017-01-26
110266,City Hotel,0,26,2017,April,16,22,2,1,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,214.0,0,2,Check-Out,2017-04-25
55245,City Hotel,1,125,2016,August,33,8,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,0,Canceled,2016-04-05
75977,City Hotel,1,301,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
28348,Resort Hotel,0,117,2016,September,40,26,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,150.0,1,1,Check-Out,2016-09-30
22831,Resort Hotel,0,76,2016,April,15,3,2,3,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,83.3,0,1,Check-Out,2016-04-08
114826,City Hotel,0,263,2017,June,25,23,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,105.0,0,1,Check-Out,2017-06-27
61465,City Hotel,1,26,2016,December,51,12,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,154.0,,0,Transient,75.0,0,0,Canceled,2016-11-29
111115,City Hotel,0,112,2017,May,18,1,1,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2017-05-06
116936,City Hotel,0,60,2017,July,29,20,2,5,3,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,239.3,0,1,Check-Out,2017-07-27
59434,City Hotel,1,464,2016,October,44,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,391,Transient,65.0,0,0,Canceled,2016-09-20
60154,City Hotel,1,106,2016,November,46,6,2,4,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,107.0,,0,Transient-Party,79.0,0,0,Canceled,2016-09-30
32033,Resort Hotel,0,4,2017,January,2,14,0,1,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,168.0,,0,Transient-Party,68.0,0,0,Check-Out,2017-01-15
50394,City Hotel,1,115,2016,April,18,29,2,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,104.55,0,1,Canceled,2016-01-10
31190,Resort Hotel,0,1,2016,December,51,17,0,1,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,136.0,0,1,Check-Out,2016-12-18
70009,City Hotel,1,141,2017,June,23,8,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.33,0,0,Canceled,2017-01-18
71188,City Hotel,1,0,2017,June,26,29,0,2,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,149.4,0,1,Canceled,2017-06-29
97289,City Hotel,0,140,2016,September,38,12,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,110.19,0,3,Check-Out,2016-09-15
62397,City Hotel,1,29,2017,January,2,12,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,2,Canceled,2016-12-16
83165,City Hotel,1,11,2016,January,4,22,0,0,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,1,No-Show,2016-01-22
63403,City Hotel,1,10,2017,February,6,10,4,11,1,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,98.49,0,0,Canceled,2017-02-03
35748,Resort Hotel,0,6,2017,April,17,27,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,106.0,0,0,Check-Out,2017-05-01
67146,City Hotel,1,20,2017,April,17,29,0,1,3,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,215.0,0,1,Canceled,2017-04-19
23813,Resort Hotel,0,145,2017,July,29,16,2,5,2,0.0,0,BB,GBR,Direct,Direct,1,0,0,E,E,0,No Deposit,,,0,Transient,145.6,0,2,Check-Out,2017-07-23
67024,City Hotel,1,111,2017,April,17,27,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31.0,,0,Transient,120.0,0,0,Canceled,2017-01-06
67456,City Hotel,1,214,2017,May,18,3,0,4,2,1.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.2,0,2,Canceled,2016-10-18
117537,City Hotel,0,44,2017,August,31,4,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Check-Out,2017-08-05
28044,Resort Hotel,0,336,2016,September,38,15,1,3,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,D,1,No Deposit,,223.0,0,Transient-Party,60.0,0,0,Check-Out,2016-09-19
89044,City Hotel,0,93,2016,May,20,12,2,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient,150.45,0,3,Check-Out,2016-05-17
13628,Resort Hotel,1,195,2017,August,34,23,2,8,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,39.0,0,0,Canceled,2017-02-09
33647,Resort Hotel,0,69,2017,February,8,21,2,5,2,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,405.0,0,Transient-Party,44.0,0,0,Check-Out,2017-02-28
82504,City Hotel,0,0,2017,May,20,19,0,1,1,0.0,0,BB,PRT,Corporate,Direct,1,0,8,A,A,0,No Deposit,,163.0,0,Transient,136.0,0,2,Check-Out,2017-05-20
80121,City Hotel,1,72,2015,December,53,27,2,0,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015-11-11
55486,City Hotel,1,186,2016,August,34,14,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,112.0,0,0,No-Show,2016-08-14
26442,Resort Hotel,0,37,2016,July,31,30,0,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,179.0,0,0,Check-Out,2016-07-31
76125,City Hotel,1,288,2015,October,42,16,0,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,1,Non Refund,6.0,,0,Transient-Party,80.0,0,0,Canceled,2015-07-06
74093,City Hotel,1,321,2015,September,36,3,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
15585,Resort Hotel,0,108,2015,July,29,17,3,7,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,182.8,1,2,Check-Out,2015-07-27
25443,Resort Hotel,0,161,2016,June,26,22,2,4,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,178.0,1,2,Check-Out,2016-06-28
114268,City Hotel,0,213,2017,June,24,13,1,5,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,121.5,0,0,Check-Out,2017-06-19
47609,City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0,Canceled,2016-02-27
96122,City Hotel,0,143,2016,August,35,25,1,3,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,22.0,,0,Transient,112.45,0,0,Check-Out,2016-08-29
56172,City Hotel,1,44,2016,August,36,31,0,3,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.5,0,0,Canceled,2016-07-20
927,Resort Hotel,0,65,2015,August,32,6,2,3,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,142.0,,0,Transient,149.2,0,0,Check-Out,2015-08-11
797,Resort Hotel,1,8,2015,July,31,30,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,H,0,No Deposit,240.0,,0,Transient,153.0,0,1,Canceled,2015-07-30
95122,City Hotel,0,127,2016,August,34,14,1,0,2,1.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Transient,139.5,1,0,Check-Out,2016-08-15
85276,City Hotel,0,44,2016,March,10,4,2,6,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,59.95,0,1,Check-Out,2016-03-12
18815,Resort Hotel,0,12,2015,November,48,28,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,61.2,0,1,Check-Out,2015-11-30
61575,City Hotel,1,185,2016,December,51,16,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,103.5,0,0,Canceled,2016-07-28
78319,City Hotel,1,34,2016,July,30,19,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,12,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Canceled,2016-07-18
31208,Resort Hotel,0,1,2016,December,51,16,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2016-12-18
71902,City Hotel,1,53,2017,July,28,15,1,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,1,Canceled,2017-05-23
27917,Resort Hotel,0,33,2016,September,38,15,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,F,0,No Deposit,240.0,,0,Transient,199.0,0,1,Check-Out,2016-09-17
114628,City Hotel,0,109,2017,June,25,22,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,2,Check-Out,2017-06-25
111143,City Hotel,0,38,2017,May,18,5,0,2,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,G,1,No Deposit,9.0,,0,Transient,179.0,0,1,Check-Out,2017-05-07
43626,City Hotel,0,60,2015,September,39,21,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,65.0,0,0,Check-Out,2015-09-23
46948,City Hotel,1,1,2016,January,5,29,0,1,1,0.0,0,BB,DEU,Online TA,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,90.0,0,0,Canceled,2016-01-29
65506,City Hotel,1,63,2017,April,14,4,0,3,3,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,162.0,0,0,Canceled,2017-02-02
